@English@|@Sami@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@~month old@|@~mánnosaš@
@~self@|@ieš@
@15 crowns@|@vihttanuppelot ruvnno@
@50 marks@|@vihttalot márkki@
@a big river@|@eatnu@
@a bit more than@|@badjelaš@
@a certain quantity@|@moanak@
@a couple of something@|@moadde@
@a couple of years back@|@moatti jagi dassái@
@a few years from now@|@soames jagi geažis@
@a great deal@|@garrasit, hui garrasit@
@a half cup@|@gohppolahkki@
@a harbor seal@|@skávdu@
@a heck of@|@hirbmat@
@a herd of hundreds of reindeer@|@eallu@
@a horribly long time@|@hirbmat guhkes áigi@
@a hundred thousand@|@chuoðiðuhát@
@a k. of bird of prey@|@biekkan, pieokkan, piijkij@
@a k. of duck@|@važ-lointe@
@a k. of grass@|@njuöcco-rasse@
@a k. of metal@|@væi'ke, vei'hkee, viaišk, vieišk, vieške@
@a k. of relative@|@oarben, orben@
@a k. of tree@|@muorra@
@a k. of willow@|@poajoi`@
@a kind of outer garment@|@gákti@
@a little@|@vehá, veháš@
@a little bit@|@gullostit@
@a little bit of this@|@feara mii@
@a loft on a pole@|@njalla@
@a long time@|@guhká@
@a lot@|@hui@
@a moment ago@|@eske@
@a morning person@|@morrái@
@a person living in@|@duortnuslaš@
@a small button@|@bološ@
@a small fjord@|@vuonaš@
@a small handle@|@geavjjas@
@a small kota@|@goaðaš@
@a stream@|@jogaš@
@a type of carrion beetle@|@áhchešeatni@
@a unit of measurement@|@állan@
@a water bird@|@goal'se@
@a week later@|@vahku mangngil@
@abattoir@|@njuovahat@
@abbreviation@|@oanádus@
@abomasum@|@doggi@
@aboriginal@|@aborigiidna@
@abstract@|@choahkkáigeassu@
@abundant with fish@|@guollái@
@accident@|@lihkohisvuohta, lihkuhisvuohta@
@accomodation@|@orrun@
@according to something@|@mielde@
@accounting firm@|@rehketdoallodoaimmahat@
@accounting period@|@rehketdoallobadji@
@accusative@|@akkusatiiva@
@ache@|@bávchchas@
@acid@|@sivra, suvri@
@across@|@doares, doarës, doarras, tares, taris, toara's@
@across (1)@|@tuares, tuäres@
@across from something@|@buohta@
@activity@|@bargu@
@actress@|@neavttár@
@addict@|@narkomána@
@addition@|@lassi@
@additional@|@lasse@
@additional exercise@|@lassehárjehus@
@address@|@chujuhus@
@adjective@|@adjektiiva@
@administration@|@hálddašeapmi@
@administrative court@|@hálddahusduopmostuollu, hálddahusriekti@
@admissions@|@vuostáiváldin@
@adult@|@ráves olmmoš, rávesolmmoš, rávisolmmoš@
@adulthood@|@almmáivuohta@
