@Esperanto@|@English@
@Author name@|@Gary Mickle@
@-a@|@-ful@
@abako@|@abacus@
@abata@|@abbatial@
@abata jurisdikcio@|@abbacy@
@abateco@|@abbacy@
@abateja@|@abbatial@
@abatejo@|@abbey@
@abatino@|@abbess@
@abato@|@abbot@
@abceso@|@abscess@
@abderano@|@fool; Gothamite@
@abdiki@|@resign, abdicate@
@abdiko@|@abdication@
@abdomena@|@abdominal@
@abdomeno@|@abdomen@
@abduktoro@|@abductor@
@abelejo@|@apiary@
@abelisto@|@bee-keeper@
@abelkulturo@|@bee-keeping@
@abelo@|@bee@
@abelujo@|@beehive, bee-hive@
@abelvakso@|@beeswax@
@aberacii@|@deviate@
@aberacio@|@aberration@
@abĥaza@|@Abkhazian@
@Abĥazio@|@Abkhazia@
@abĥazo@|@Abkhazian@
@abio@|@fir@
@abiogenezo@|@abiogenesis@
@abisena@|@Ethiopian, Abyssinian@
@Abisenio@|@Abyssinia, Ethiopia@
@abiseno@|@Abyssinian, Ethiopian@
@abisma@|@abysmal@
@abismo@|@abyss, chasm@
@abiturienta diplomo@|@academic high school diploma, leaving-certificate@
@abiturienta ekzameno@|@final examination@
@abĵuri@|@abnegate, abjure@
@abĵuro@|@abjuration@
@ablativo@|@ablative@
@abnegacii@|@abnegate, deny oneself@
@abnegacio@|@abnegation@
@abnorma@|@abnormal@
@abnormaĵo@|@abnormity, abnormality(2)@
@abnormeco@|@abnormality(2), abnormity@
@aboco@|@ABC, alphabet@
@aboli@|@abolish, abrogate@
@abolicii@|@abolish, abrogate@
@abolicio@|@abrogation, abolition@
@abolo@|@abrogation, abolition@
@abomaso@|@rennet-stomach@
@abomena@|@dreary(2), ghastly, horrible, hideous, detestable@
@abomenaĵo@|@abomination@
@abomeni@|@abominate, abhor, loathe@
@abomenigi@|@repel, disgust; deter@
@abomeninda@|@horrible, hideous, abominable, abhorrent, awful@
@abomenindaĵo@|@abomination, horror, atrocity@
@abomeno@|@abomination, horror, abhorrence@
@abonanto@|@subscriber@
@aboni@|@subscribe@
@abono@|@subscription@
@aborigeno@|@native(3), aboriginal@
@aborti@|@miscarry, abort(2)@
@abortigi@|@abort(2)@
@abortigisto@|@abortionist@
@abortigo@|@abortion@
@aborto@|@abortion@
@Abrahamo@|@Abraham@
@abraziiĝi@|@abrade, wear away@
@abrazio@|@abrasion@
@abreviacio@|@abbreviation@
@abrikoto@|@apricot@
@abrogacio@|@abrogation@
@abrupta@|@abrupt@
@abrupte@|@abruptly@
@absceso@|@abscess@
@absciso@|@abscissa@
@absejli@|@abseil@
@absintaĵo@|@absinthe@
@absintlikvoro@|@absinthe@
@absinto@|@wormwood; absinthe@
@absoluta@|@absolute@
@absolute@|@absolutely@
@absolutismo@|@absolutism@
@absolvi@|@absolve@
@absolvo@|@absolution@
@absorba@|@absorbent@
