@English@|@Ahtna@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@3 grayling're lying the shore@|@taagga segeli tabaa zdlaa@
@a beads container is there@|@natl'edze tiil dazkaan@
@a big teapot is sitting there@|@tsenii ce'e zkaan@
@a lamp is sitting there@|@dezk'aan'e yizkaan@
@a mushroom is growing@|@c'eney' nanetyaex, c'eneyy' neyaex@
@a rug is down on the floor@|@tael 'egaat kadezniic@
@a story about natael@|@natael gha nahwkolnic@
@alder leaves are growing@|@k'es t'aann' neyaex@
@all day long grandma worked@|@dziin uudih wutsoo etnah@
@ant@|@nadosi@
@are you cold?@|@zidlii da?@
@are you hungry?@|@ditsiin da?@
@are you thirsty?@|@tuu da ndestlaan?@
@are you tired?@|@taghitnak da?@
@arm@|@uggaan'@
@at chahjakta's house@|@chahjakta' shah xah naholnik@
@baby@|@sc'aen, sc'enggaay@
@baby rabbit@|@uggaay@
@back hat@|@tsic'uus elt'uudze@
@be quiet@|@dadzineh@
@bear cub@|@sos@
@beaver@|@tsa'@
@berry@|@gigi@
@big@|@ce'e@
@big knife@|@tsactsiy ce'e@
@bird@|@ggaaggi@
@birds are flying around@|@ggaaggi natnedel@
@black@|@elt'uudze, lt'uudzi@
@black bears@|@sos@
@black hat@|@tsic'uus lt'uudzi@
@blanket@|@ts'ede'@
@blue@|@deldlaedze@
@blue hat@|@tsic'uus deldlaedze@
@boy@|@ciil@
@brown@|@eltsoghe@
@brown hat@|@tsic'uus eltsoghe@
@bull moose@|@nicuunn@
@bullets@|@k'a'tse'@
@bush@|@ts'el@
@butterfly@|@lahleli@
@calf moose@|@detsiigi@
@cane@|@tets@
@caribou@|@udzih@
@chahjakta's dog is sleeping@|@chahjakta' wuliik eetii@
@chest@|@ut'aay@
@child@|@sc'aen@
@Chritmas Eve@|@ts'its'aange tedze@
@clothes@|@yu'@
@come here!@|@'aani!, 'aann!@
@cottonwood leaves are growing@|@t'aghes t'aann' neyaex@
@cow moose@|@deyaaze@
@creek@|@c'ena'@
@cup@|@tutiil@
@cut some firewood@|@tsets 'itsael@
@dark blue@|@datl'edzi@
@dark blue hat@|@tsic'uus datl'edzi@
@day@|@dzaenn@
@did you see any sheep?@|@debae da nghil'aen'?@
@did you see any wolves?@|@tikaann da nghil'aen'?@
@do you have firewood?@|@kon' tsedze' da dizilaa?, tsets dizilaa da?@
@do you have matches?@|@kon' da dizilaa?, kon' dizilaa da?@
@do you hear me?@|@sdi'its'ak da?, sdi'its'ak?@
@do you know native language?@|@nkenaege' da 'eldaditnes?@
