@English@|@Old Nahuatl@
@Author name@|@Manuel Rodríguez Villegas@
@Font@|@Arial\12\Arial\12@
@a little bit@|@achitzin@
@a little tall@|@cuauhticatontli@
@a short while ago@|@quin axcan@
@abaft@|@acalcuexcochtli@
@abdomen@|@cuitlatecomatl@
@aboard a ship (to)@|@tlaacalaquia@
@academy@|@toltecalli@
@Acalan@|@Acallan (Land of ships)@
@Acapulco@|@Acapolco (Land of big canes)@
@accident@|@cocoliztli@
@accompany (to)@|@teaxiltia@
@accordion@|@acordioni, tepozcuicacaxitl@
@achropolis@|@acopaltepetl@
@acolyte@|@acolitoni, tlamazteocaltoni@
@adobe@|@xacamitl, xamitl@
@adobe house@|@xamixcalli@
@advance@|@acoquitzaliztli@
@advance (to)@|@acoquitza@
@Africa@|@African@
@African@|@africanecatl, africatl@
@African language (Afrikaans)@|@africantlahtolli, africatl@
@afternoon@|@teotlac@
@afterwards@|@niman, quin tepan@
@again@|@occepa@
@aged man@|@huehuetlacatl@
@agile@|@acocqui@
@agitate (to)@|@acomana@
@agitating@|@acomanani@
@agitation@|@acomanaliztli@
@Agustinian monk@|@Agustín teopixqui@
@ahead@|@ocachinepan, ocnepan@
@Ahuitzotl@|@Ahuitzotl (Otter)@
@air@|@ehecatl@
@airplane@|@acalpatlani, tepozpatlanqui, tepoztototl@
@airport@|@ehecaquixoayan@
@all@|@ixquich, mochi@
@all (plural)@|@mochintin@
@all night@|@cenyohual@
@all people@|@mochitlacatl@
@all right@|@ca yeh cualli@
@alligator@|@acatetepontli, cuetzpalin@
@also@|@no, nohuican, noihuan, noyuhqui@
@also book shelf@|@amoxcalli@
@altar boy@|@acolitoni, tlamazteocaltoni@
@always@|@cemiac, mochipa@
@amaranth@|@huauhtli@
@amen@|@amen, mayuhmochihua@
@American@|@ixachitecatl, ixachitlacatl@
@American lion@|@miztli (felis concolor)@
@American ostrich@|@tlacatototl (rhea americana)@
@Anahuac@|@Anahuac (Land near the water), Mexico, Yancuic Caxtillan@
@ancestor@|@achtontli@
@anchor@|@acachicolli@
@and@|@auh@
@and (&)@|@ihuan@
@angel@|@anxelin, anxelli@
@Anglican@|@inglatecatl, inglatl@
@Anglosaxon@|@inglatecatl, inglatl@
@angry@|@aacqui@
@animal@|@yolcatl@
@animal arm@|@matli@
@another@|@oc cequi, occe, occequin@
@anothers@|@oc cequin, occequintin@
@answer (to)@|@nanquilia@
@ant@|@azcatl (formica terrestris)@
@anthill@|@azcapotzalli@
@antler@|@cuacuahuitl@
@appear materialize (to)@|@neci@
@apple@|@mantzanatl@
@apricot@|@chahuacatl@
@april@|@abrilli, hueytozoztli, toxcatl@
@aquatic quail@|@azolin@
@aquatic reed@|@aacatl@
@aquatic snake@|@acoatl@
@architect@|@calmanani@
@architectonic@|@calmanayo@
@architecture@|@calmanayotl@
@arm@|@acolmaitl, macolli, matzopaztli@
@arm band@|@matemecatl@
@armpit@|@ciyacatl@
@arrive (to)@|@aci@
@arrow@|@acatl, mina, mitl@
@art@|@toltecayotl@
