@English@|@Spanish (Business)@
@Author name@|@Ana del Río García@
@Font@|@Arial\12\Arial\12@
@absenteeism@|@absentismo@
@abstinence@|@abstinencia@
@acceleration@|@aceleración@
@accelerator@|@acelerador@
@acceptance@|@aceptación@
@account@|@cuenta@
@account day@|@día de liquidación@
@account number@|@número de cuenta@
@accountant@|@contable@
@accounting@|@contabilidad@
@accounting conventions@|@convenciones contables, principios contables@
@accounts@|@contabilidad@
@accounts payable@|@cuentas por pagar@
@accounts receivable@|@cuentas por cobrar@
@accrued assets@|@activos acumulados@
@accrued interest@|@interés acumulado@
@acquisition@|@adquisición, compra@
@acquisition costs@|@costos de adquisición@
@actuary@|@actuario@
@adjustable-rate mortgage(ARM)@|@hipoteca con tasa de interés ajustable@
@administered prices@|@precios administrados@
@ADR@|@American Depository Receipt@
@advanced countries@|@países desarrolados o avanzados@
@advertising@|@publicidad@
@affidavit@|@declaración jurada@
@affordable housing@|@viviendas a precios razonables@
@agglomeration economies@|@economías de escala por proximidad física@
@aggregate demand@|@demanda agregada@
@aggregate supply@|@oferta agregada@
@aggregation problem@|@problema q surge al pasar de la micro. a la macro.@
@agreement@|@acuerdo@
@agreement of sale@|@acuerdo de venta@
@agricultural reform@|@reforma agraria@
@agricultural sector@|@sector primario o agropecuario@
@aid@|@ayuda económica@
@alienation@|@alienación@
@allocate@|@asignar@
@allocation of resources@|@asignación de recursos@
@allowances@|@deducciones, descuentos@
@Am. Society of Home Inspectors@|@Sociedad Norteam. de Inspectores de Vivienda@
@amortization@|@amortización@
@amount@|@monto de una deuda@
@annual income@|@ingresos anuales@
@annuity@|@annualidad@
@anti trust laws@|@leyes antimonopólicas@
@applying@|@solicitar@
@appraisal@|@tasación@
@appraiser@|@tasador@
@APR (Annual percentage rate)@|@Tasa Porcentual Anual@
@area@|@área@
@article@|@artículo@
@assembly@|@asamblea@
@assessed value@|@valor calculado@
@assets@|@activos, bienes@
@assets and liabilities@|@activo y pasivo@
@assumable mortgage@|@hipoteca asumible@
@assume a loan@|@tomar un préstamo@
@assume a mortgage@|@tomar una hipoteca@
@assumption@|@asunción@
@at sight@|@a la vista@
@auction@|@subasta pública@
@auditory@|@auditoría@
@aunvity@|@anvalidar@
@automatic cash@|@cajero automático@
@automatic cashing@|@cobro automatizado@
@average price@|@precio promedio@
@AWL (airway Lading)@|@conocimiento de embarque aéreo@
@B/L (Bill of lading)@|@conocimiento de embarque@
@back to back@|@crédito documentario@
@balance@|@balance, saldo@
@balance carried down@|@remanente a cuenta nueva@
@balance fore card@|@cuadro integrado de costo@
@balance of payments@|@balanza de pagos@
@balance of trade@|@balanza comercial@
@balance outstanding@|@saldo pendiente@
@balance sheet@|@balance@
@balloon payment@|@pago al final@
@banker's acceptance@|@aceptación bancaria@
@bankruptcy@|@bancarrota@
@banning@|@banca@
@barter@|@trueque@
@basis of assessment@|@base gravable@
@bear market@|@mercado bursátil en declinación@
@bench mark@|@punto de comparación@
@beneficiary@|@beneficiario@
@bias@|@sesgo, tendencia@
@bid@|@oferta@
@bill@|@cuenta@
@bill of change@|@letra de cambio@
@bill of lading@|@conocimiento de embarque@
@biweekly-payment mortgage@|@hipoteca con pagos quincenales@
@blue chip company@|@gran compañía@
@bond@|@bono@
@bookie (colloq)@|@corredor de apuestas@
@bookkeeper@|@contable, tenedor de libros@
@bookkeeping@|@contabilidad@
@borrowing@|@préstamo@
@bottom price@|@precio mínimo@
@brand@|@marca de fábrica@
@breadwinner@|@asalariado@
@break down@|@análisis@
@break even point@|@punto de equilibrio@
@breakage@|@rotura@
@budget@|@presupuesto@
@building code regulations@|@reglamentaciones de los códigos de construcción@
@building inspection servicies@|@servicios de inspección de construcción@
@buildings@|@bienes inmuebles@
@bulk@|@masa, volumen@
@bull market@|@mercado bursátil en alza@
@Business@|@acuerdo comercial@
@business card@|@tarjeta de negocios@
@buy down@|@reducción de la tasa de interés por pago adicional@
@buyer@|@comprador@
@buyer's agent@|@agente del comprador@
@buying power@|@poder adquisitivo@
@C&F@|@valor incluyendo costo y flete@
@cap@|@tope@
@capital@|@capital@
@capital flight@|@fuga de capital@
@capital gains@|@utilidades de capital@
@capital gains deferment@|@aplazamiento de ganancias de capital@
@capital goods@|@bienes de capital@
@capital market@|@mercado de capital@
@capital rationing@|@racionamiento de capital@
@capital stock@|@acciones de capital@
@carnings@|@ganancias@
@carrier@|@transportador marítimo@
@case@|@caso@
@cash@|@contado, dinero, efectivo@
@cash and carry@|@de venta al por mayor@
@cash balance@|@saldo de caja@
@cash crop@|@cultivo comercial, cultivo industrial@
@cash dispenser@|@cajero automático@
@cash flow@|@flujo de caja@
@cash flow audience@|@flujo de caja del inversionista@
@cash on deliver@|@pago contra entrega@
@cash on delivery@|@entrega contra reembolso@
@cash on hand@|@efectivo en caja, efectivo en mano@
@cash payment@|@pago al contado@
@cash price@|@precio al contado@
@cash prize@|@dinero en efectivo, premio en metálico@
@cash reserve@|@reserva de efectivo@
@cashback@|@devolución de dinero en efectivo@
@cashcard@|@tarjeta del cajero automático@
@cashier@|@cajero/a@
@cashier's check@|@cheque bancario@
@ceiling price@|@precio tope@
@CEO (Chief Executive Officer)@|@presidente@
@change@|@cambio@
@check@|@cheque@
@chief executive officer@|@presidente@
@child support@|@apoyo infantil@
@CIF@|@seguro y flete, valor incluyendo costo@
@circulating capital@|@capital circulante@
@claim@|@reclamo@
@clean credit@|@crédito sin necesidad de garantías@
@clear title@|@título limpio@
@clearing@|@compensación@
@client@|@cliente@
@closing@|@cierre@
@closing balance@|@balance de cierre, balance final@
@closing date@|@fecha del cierre@
@CMA@|@comparative market analysis@
@coaching@|@asesoría personal@
@COD (Cash on Deliver)@|@pago contra entrega@
@COD (Cash on Delivery)@|@entrega contra reembolso@
@collateral@|@activo dado en prenda@
@collect@|@cobro en el destino@
@comissions@|@comisiones@
@commercial bank@|@banco comercial, banco mercantil@
@commercial note@|@albarán@
@commercial paper@|@efectos negociables, papel comercial@
@commercial traveller@|@corredor, viajante de comercio@
@commitment fee@|@comisión de compromiso@
@commitment letter@|@carta de compromiso@
@commodity@|@mercadería@
@community group@|@grupo comunitario@
@company@|@compañía@
@company account@|@cuenta de gastos@
@comparative market analysis@|@análisis comparativo de mercado@
@competition@|@competencia@
@competitiveness@|@competitividad@
@compound interest@|@interés compuesto@
@concern@|@compañía@
@conciliation@|@conciliación@
@consolidated debt@|@deuda consolidada@
@consultation@|@consulta@
@consumer@|@consumidor@
@consumer credit bureau@|@oficina de crédito para el consumidor@
@consumer goods@|@bienes de consumo@
@consumer price index@|@índice de precios al consumo@
@consumption@|@consumo@
@contribution founds@|@aportación de fondos@
@convertibility@|@convertibilidad@
@cooling system@|@sistema de enfriamiento@
@cost@|@costo@
@cost benefit ratio@|@razón beneficio costo@
@cost of living adjustment@|@ajustes por inflación@
@cost price@|@precio de costo@
@cost volume profit analysis@|@análisis de sensibilidad@
@counter trade@|@comercio, trueque@
@coupon@|@desprendible@
@credit@|@crédito@
@credit analysis@|@análisis crediticio@
@credit balance@|@saldo acreedor@
@credit card@|@tarjeta de crédito@
@credit counseling@|@asesoría en materia crediticia@
@credit history@|@historial crediticio@
@credit rating@|@calificación crediticia@
@credit record@|@trayectoria crediticia@
@creditor@|@acreedor@
@currency@|@circulante, moneda@
@current account@|@cuenta corriente@
@current assets@|@activo circulante, activo fijo@
@current liabilities@|@pasivo circulante@
@current monthly expenses@|@gastos mensuales actuales@
@custom house@|@aduana@
@customer@|@cliente@
@customer education group@|@grupo de educación al consumidor@
@customers duty@|@derechos arancelarios@
@data business@|@comercio electrónico@
@data cash@|@banca electrónica@
@deal@|@acuerdo comercial, negocio@
@dealer@|@vendedor@
@debt@|@débito, deuda@
@debt limit@|@nivel de endeudamiento@
@debtor@|@deudor@
@deck load@|@carga en cubierta@
@deductible@|@deducible@
@deduction@|@deducción@
@deed@|@escritura de propiedad inmobiliaria@
@deed of Trust@|@escritura de fideicomiso@
@default@|@incumplimiento@
@deferred@|@diferido@
@deferred payment@|@pago a plazos@
@deficit@|@déficit@
@deflaction@|@deflación@
@delinquency@|@mora en el pago@
@delivery@|@entrega@
@delivery note@|@albarán@
@demand@|@demanda@
@deposit@|@depósito@
@deposit account@|@cuenta de ahorros@
@depreciation@|@amortización, depreciación, devaluación@
@devaluation@|@devaluación@
@devise@|@devisas@
@disbursement@|@desembolso@
@discharge in bankruptcy@|@eliminación de deuda por bancarrota@
@disclosure@|@divulgación@
@discount@|@descuento@
@discretionary expenses@|@gastos discrecionales@
@divided@|@dividendo@
@donation@|@donación@
@down payment@|@pago inicial@
@draft@|@letra de cambio@
@drawing@|@giro@
@due date@|@fecha de vencimiento@
@duty@|@arancel@
@earnest money deposit@|@depósito de garantía@
@earning report@|@estado de resultados@
@earnings@|@ganancias@
@earnings per share@|@ganancias por acción@
@ebb and flow@|@bajada y subida@
@ECOAEqualCreditOpportunityAct@|@Ley de Igualdad de Oportunidades de Crédito@
@economic profit@|@valor económico@
@economic trend@|@coyuntura económica@
@economy@|@economía@
@effective@|@efectivo@
@effective rate@|@tasa efectiva@
@effective rate per annuu@|@tasa efectiva anual@
@empowerment@|@empoderamiento@
@enterprice@|@empresa@
@entrance fee@|@entrada, precio de entrada@
@entrepreneur@|@empresario@
@EPS@|@ganancias por acción@
@equity@|@capital en la propiedad@
@escrow funds@|@fondos en garantía@
@estimate@|@estimación@
@exceptional items@|@partidas extraordinarias@
@exchange adjustment@|@ajuste de cambio@
