@English@|@Ukrainian@
@Author name@|@Public domain@
@Font@|@Arial\12\Arial\12@
@aama@|@аамп@
@aback@|@назад@
@abacus@|@абак, рахівниця@
@abacuses@|@рахівниці@
@abaddon@|@пекло@
@abaft@|@позаду@
@abandon@|@відмовіться, залишати, залишити, кинути, лишати, лишити, облишати, облишити, покидати, покинути@
@abandoned@|@відмовляються, закинений, закинутий, занедбаний, занепалий, занехаяний, невтримний, нестриманий@
@abandoning@|@невимушеність@
@abandonment@|@абандон, відмова, дитини, дитину, залишення, занедбаність, занехаяння, полишення@
@abandonments@|@відмови@
@abandons@|@відмовляється@
@abase@|@знижувати, понижувати, принижувати, принизьте@
@abased@|@принижений@
@abasement@|@зниження, пониження, приниження@
@abasements@|@приниження@
@abases@|@принижує@
@abash@|@збентежте@
@abashed@|@збентежений@
@abashing@|@збентеження@
@abashment@|@збентеження@
@abashments@|@збентеження@
@abatable@|@усувний@
@abate@|@анулювати, відміняти, вщухати, заспокоюватись, заспокоюватися, збавляти, зменшитися, зменштеся, зменшувати, зменшуватись, зменшуватися, знижувати, знизити, меншати, ослабити, ослаблювати, ослабляти, послаблювати, послабляти, припинити, припиняти, притупляти, скасовувати, скасувати, слабшати@
@abated@|@зменшений@
@abatement@|@анулювання, зменшення, зменшування, зм'якшення, зниження, знижка, ослаблення, пом'якшення, послаблення, припинення, скасовування, скасування, скидка, усування, усунення@
@abatements@|@зменшення@
@abater@|@зменшувач@
@abates@|@зменшується@
@abating@|@зменшення@
@abatis@|@завал@
@a-battery@|@батарея@
@abattoir@|@бойня@
@abb@|@обор, утік@
@abbacy@|@абатство@
@abbe@|@абат@
@abbess@|@ігуменя@
@abbesses@|@ігумені@
@abbey@|@абатство, монастир@
@abbeys@|@абатства@
@abbokinase@|@абокіназа@
@abbot@|@абат@
@abbots@|@абати@
@abbreviate@|@скоротіть, скорочувати@
@abbreviated@|@скорочений@
@abbreviates@|@скорочує@
@abbreviating@|@скорочення@
@abbreviation@|@абревіатура, скорочення@
@abbreviations@|@скорочення@
@abc@|@абетка, азбука, алфавіт, засади, найпростіший, основи, простий@
@abc-book@|@буквар@
@abdicate@|@відмовіться, відмовлятись, відмовлятися, відрікатися, зрікатися@
@abdicated@|@відмовляється@
@abdicates@|@відмовляється@
@abdicating@|@відмовитися@
@abdication@|@відказ, відмова, відмовлення, відмову, відречення, зречення@
@abdications@|@зречення@
@abdomen@|@живіт, черево@
@abdomens@|@черева@
@abdominal@|@абдомінальна, абдомінальне, абдомінальний, черевний, черевній, черевної, черевною@
@abdominous@|@товстий@
@abduct@|@викрадати, викрадіть, викрасти, відводити, красти@
@abducted@|@викрадений@
@abducting@|@викрадення@
@abduction@|@абдукція, викрадання, викрадення, відведення, силогізм@
@abductions@|@викрадення@
@abductor@|@викрадач@
@abductors@|@викрадачі@
@abducts@|@викрадає@
@abecedarian@|@учень@
@abecedarians@|@учні@
@a-begging@|@жебрацтво@
@aberdeen@|@абердін@
@aberdevine@|@чечітка@
@aberrance@|@аберація, відхилення@
@aberrancies@|@відхилення@
@aberrancy@|@аберація, відхилення@
@aberrant@|@аномальний@
@aberration@|@аберація, безпам'ятність, відхилення, забудькуватість, збочення, омана, помилка@
@aberrational@|@ірраціональний@
@aberrations@|@відхилення@
@abet@|@підбурте, підбурювати, спонукати, сприяти@
@abetment@|@підбурювання@
@abets@|@підбурює@
@abetted@|@підбурений@
@abetting@|@підбурювання@
@abettor@|@підбурювач, співумисник, співучасник, спільник@
@abettors@|@підбурювачі@
@abeyance@|@невідомості, призупинення, припинення, чекання@
@abeyant@|@бездіяльний@
@abhor@|@ненавидьте@
@abhorred@|@ненавидиться@
@abhorrence@|@відраза, зненависть, когось-то, коли-то, ми-то, ненависть, огида, огиду, ось-то, оте, поки-то, те, тє, то, тоді-то, чи-то, якось-то@
@abhorrences@|@огиди@
@abhorrent@|@мерзенний, ненависний, несумісний, огидний, осоружний@
@abhorrently@|@огидно@
@abhorring@|@ненавидіти@
@abhors@|@ненавидить@
@abidance@|@додержування, перебування, проживання@
@abide@|@виконувати, винести, виносити, додержувати, додержуватись, додержуватися, дотримувати, дотримуватись, дотримуватися, ждати, жити, мешкати, незмінним, перебувати, перебудьте, пережити, притримуватись, притримуватися, проживати, терпіти, чекати@
@abided@|@перебув@
@abides@|@перебуває@
@abiding@|@постійний@
@abigail@|@служниця@
@abilities@|@здатності@
@ability@|@вміння, дарування, здатність, здібність, кваліфікація, можливість, правоздатність, придатність, спритність, спроможність, уміння, хист@
@abject@|@жалкий, жалюгідний, знехтуваний, нещасливий, нещасний, низький, принижений, сердешний@
@abjection@|@низькість, приниженість, приниження@
@abjectly@|@жалюгідно@
@abjuration@|@відказ, відмова, відмовлення, відмову, зречення@
@abjurations@|@відмови@
@abjure@|@відмовлятись, відмовлятися, відрікатися, зречіться, зрікатися, підданства, позову, цуратись, цуратися@
@abjured@|@зрікається@
@abjures@|@зрікається@
@abjuring@|@зректися@
