@English@|@Yiddish@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@07:30pm@|@Es iz zibene un traytsik inem@
@1:45@|@eyns finf un fertsik, fiftsn tsu tsvey@
@11:30@|@elf draysik, halb tsvelf@
@3:15@|@dray un a fertl, dray un fiftsn minut@
@5 cent piece@|@nikl@
@7:13@|@zibn un draytsn@
@a@|@a, shum@
@A bad end@|@A schwartzen sof@
@a bad man@|@Parech@
@A big mess@|@Shudden@
@A big shot@|@A groyser tzuleyger, Knacker@
@a bit@|@a bisl@
@A blessing@|@A brocheh@
@A bum@|@Trombenik@
@A buzzing in one's (mind) head@|@Zhu met (mir) in kop@
@A catastrophe@|@A kappore@
@A chronic ailment@|@A farshlepteh krenk@
@A coarse@|@Yachneh@
@A coarse young man@|@A grubber yung@
@A cold soul@|@Kalta neshomeh@
@A concoction made of warm milk@|@Guggle muggle@
@A curse@|@Kloolye@
@A curse on Columbus@|@A broch tzu Columbus@
@A curse on my enemies!@|@A klog tzu meineh sonim!@
@A curse on you!@|@A broch tzu dir!@
@A cutie-pie showing off her@|@A maidel mit a klaidel@
@a drunk has on his tongue@|@is bei a shikkeren oyfen tsung@
@A female boarder@|@Boarderkeh@
@A female only child@|@Bas-yekhide@
@a few@|@a por@
@A flop or failure@|@Durkhfall@
@A fool remains a fool@|@A nahr bleibt a nahr@
@A foul@|@Fortz n' zovver@
@A friendly face@|@Haimish ponem@
@A funnel@|@Lakeh@
@A girl of marriageable age@|@Kalleh moid@
@A good piece of information@|@Gote-Vorte@
@A good sign@|@Simantov@
@A gossip@|@Plyotkenitzeh@
@A great joy@|@A shtik naches@
@A groan@|@Ech@
@A hag@|@Shkapeh@
@A hellraiser@|@Hulyen@
@A hole in the head@|@Luch in kup@
@a horrible wish on someone (1)@|@auf dein hent und fiss@
@A jerk@|@Shlub@
@A lazy person has to do a task@|@A foiler tut in tsveyen@
@A life on your head@|@A leben ahf dein kepele@
@A little@|@a bisel, a bisl@
@A lively person@|@Nit kain farshloffener, Rirevdiker@
@A lively world!@|@Lebedikeh velt!@
@A long story@|@Megillah@
@A lot@|@a sach@
@A male only child@|@Ben-yokhid@
@A man who threatens@|@Yatebedam@
@A mess@|@hefker@
@A misfortune@|@Umglick@
@a moaner@|@Krechtser@
@a morsel@|@Shtikel@
@A mourner's prayer@|@Kaddish@
@A naughty little boy@|@Mamzerook@
@A nerd@|@Kuni leml@
@a nobody@|@Vantz@
@A nobody@|@Nebbish@
@A nobody!@|@A nishtikeit!@
@A noise-maker@|@Tumler@
