@English@|@Pali@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@4 types of honey@|@Catumadhu@
@5 basic precepts of morality@|@pankasila@
@547 tales of the Buddha@|@Jtaka@
@a buddhist nun@|@bhikkhuni@
@a commentator's invention@|@Ulati@
@a cook@|@Odanika@
@a disciple of the Buddha@|@svaka@
@a discourse@|@sutra, sutta@
@a dome@|@stupa@
@a firm place@|@Ogaadha@
@a float@|@Ulumpa@
@a flood of water@|@Ogha@
@a fully ordained nun@|@bhikkhun@
@a guest@|@agantu@
@a kind of antelope@|@Eni@
@a kind of grass@|@Eraka@
@a kind of strainer@|@Ottharaka@
@a kind of wood@|@Upavana@
@a lunar mansion@|@Ulu@
@a Mahayana Buddhist deity@|@Avalokitesvara, Lawkanat, Lokanat, lokanatha@
@a major deva@|@indra@
@a pillar@|@Esika@
@a plan of combat@|@Uyyodhika@
@a ram@|@Ellaka@
@a recluse@|@samana@
@a referendum@|@ubbahikiya@
@a religious teaching@|@Buddhism@
@a sage@|@muni@
@a short time@|@ettakang kalang@
@a small@|@padika@
@a spoon@|@Ulunka@
@a stanza@|@gth@
@a threshold@|@Elaka, Ummara@
@a town in bihar@|@Bodh-Gaya@
@a wave@|@Ullola, umi, úmi, Ummi@
@abandons@|@jahati@
@about@|@matta@
@above@|@upari@
@above the collar bone@|@ubbhakkhaka@
@abuse@|@apaváda@
@access concentration@|@upacrasamdhi-@
@accompanied by@|@Upasanghita@
@according to one's ability@|@yathasatti@
@according to seniority@|@yathavuddhaµ@
@according to strength@|@yathabalaµ@
@accumulation@|@nicaya, Ussannat, Ussaya@
@acquires@|@adhigacchati@
@action@|@kamma@
@advice@|@ovada, ováda, ovadana@
@affection@|@ádara, piya@
@afraid of wrong@|@Ottapin, Ottappin@
@after@|@pacchá@
@after meal@|@pacchabhattaµ@
@afternoon@|@aparanha, Aparaöha@
@again@|@puna@
@against@|@pati@
@against the stream@|@paêisotaµ@
@age@|@áyu, îyu, vaya@
@ageing and death@|@Jaramarana@
@agitating@|@Ubbejaniya@
@agitation@|@samvega, Ubbijjan@
@ago@|@ito@
@all@|@sabba@
@all knowing one@|@sabba--è, sabbaññü@
@alms@|@dána@
@alms-giving@|@dna@
@alone@|@eka, Ekaka, Ekakiya@
@also@|@api@
@Altruistic joy@|@mudita@
@always@|@niccam, sada@
@amusement in the park@|@kil@
@an act of Proclamation@|@pakasaniya kamma@
@an aeon@|@kappa@
@an ancient Buddha@|@D²paªkara@
@an arrow@|@Usu@
@an Elder@|@thera@
@an envelope@|@Ubbethana@
