@English@|@Armenian@
@alcohol@|@³ÉÏáÑáÉ, á·»ÉÇó ËÙÇãù@
@algae@|@çñÇÙáõé@
@algebra@|@Ñ³Ýñ³Ñ³ßÇí@
@alive@|@³åñáÕ, Ï»Ý¹³ÝÇ, áÕç@
@all@|@³ÙµáÕç, ³Ù»Ý ÇÝã, µáÉáñÁ@
@allocate@|@µ³Å³Ý»É, µ³ßË»É@
@alloy@|@Ñ³Ù³ÓáõÉí³Íù@
@all-round@|@Ñ³Ù³ÏáÕÙ³ÝÇáñ»Ý@
@almond@|@Ýß»ÝÇ, Ýáõß@
@almost@|@Ñ³Ù³ñÛ³@
@almost impossible@|@¹Åí³ñ³Ýó³Ý»ÉÇ@
@almost-that@|@Ñ³Ù³ñÛ³ Ã»@
@alone@|@³é³ÝÓÝ³ó³Í, Ù»Ý³Ï@
@along@|@»ñÏ³ñáõÃÛ³Ùµ@
@aloud@|@µ³ñÓñ Ó³ÛÝ@
@alphabet@|@³Ûµáõµ»Ý@
@already@|@³ÛÉ»õë, ³ñ¹»Ý@
@also@|@³ÛÉ»õ, Ý³»õ, ÝáõÛÝå»ë@
@alter@|@Ó»õ³÷áË»É, Ýáñá·»É, í»ñ³÷áË»É@
@alternately@|@Ñ»ñÃ³÷áËáí, ÷áËÝÇ÷áË, ÷á÷áË³ÏÇ@
@alternative@|@³ÛÉÁÝïñ³Ýù@
@although@|@Ã»»õ@
@altitude@|@µ³ñÓñáõÃÛáõÝ@
@aluminium@|@³ÉÛáõÙÇÝ@
@always@|@ß³ñáõÝ³Ï@
@amateur@|@ëÇñ³Ñ³ñ, ëÇñáÕ, óáõó³ÙáÉ@
@amateur performances@|@ÇÝùÝ³·áñÍáõÝ»áõÃÛáõÝ@
@amaze@|@½³ñÙ³óÝ»É, ½³ñÙ³óÝ»É, ½Ù³ÛÉ»óÝ»É@
@amazing@|@³åß»óáõóÇã, ½³ñÙ³Ý³ÉÇ, ½Ù³ÛÉÇã, ÑÇ³Ý³ÉÇ, Ññ³ß³ÉÇ@
@ambassador@|@¹»ëå³Ý@
@amber@|@ë³Ã@
@ambitious@|@ÇÝùÝ³ë»ñ@
@ambulance@|@ßï³å µáõÅ û·ÝáõÃÛáõÝ@
@ambush@|@¹³ñ³Ý, ¹³ñ³Ý³Ï³ÉáõÃÛáõÝ@
@amend@|@áõÕÕ»É@
@amendment@|@³éáÕç³óáõÙ, áõÕÕáõÙ@
@America@|@³Ù»ñÇÏ³@
@amnesty@|@Ý»ñáõÙ@
@among@|@Ï»ëÇÝ, Ù»ç, Ù»çï»ÕáõÙ@
@amorphous@|@ïÓ»õ@
@amount@|@ÃÇí, ù³Ý³Ï@
@amplifier@|@½áñ³óáõóÇã, ë³ëïÏ³óáõóÇã, áõÅ»Õ³óáõóÇã@
@amusement@|@½í³ñ×³ÉÇù@
@amusing@|@½³ñÙ³Ý³ÉÇ, ½í³ñ×³ÉÇ, ÍÇÍ³Õ»ÉÇ@
@anaemia@|@ë³Ï³í³ñÛáõÝáõÃÛáõÝ@
@anaesthetizing@|@ó³í³½»ñÍáõÙ@
@analysis@|@³Ý³ÉÇ½, ï³ññ³ÉáõÍáõÙ@
@anarchy@|@³ÝÇßË³ÝáõÃÛáõÝ@
@ancestor@|@Ý³Ë³Ñ³Ûñ, Ý³ËÝÇ@
@anchor@|@Ë³ñÇëË@
@ancient@|@ÑÇÝ, ÑÝ³¹³ñÛ³Ý@
@and@|@ÁÝ¹ áñáõÙ, áõ, »õ, »í, ¢@
@anew@|@ÏñÏÇÝ, ÝáñÇó@
@anger@|@µ³ñÏáõÃÛáõÝ, ½³ÛñáõÛÃ, ã³ñ³óÝ»É, ó³ëáõÙ@
@angry@|@µ³ñÏ³ó³Í@
@angular@|@³ÝÏáõÝÇ@
@animal@|@·³½³Ý, Ï»Ý¹³ÝÇ@
@animation@|@ÙáõÉïÇåÉÇÏ³óÇáÝ@
@ankle@|@Ïá×@
@anniversary@|@Ñáµ»ÉÛ³Ý, Ñáµ»ÉÛ³Ý³Ï³Ý, ï³ñ»¹³ñÓ@
@announce@|@ï»Õ»Ï³óÝ»É@
@announcement@|@Ñ³Ûï³ñ³ñáõÙ@
@announcer@|@Ñ³Õáñ¹³í³ñ@
@annoy@|@µ³ñÏ³óÝ»É, ½³Ûñ³óÝ»É, çÕ³ÛÝ³óÝ»É@
@annual@|@ï³ñ»Ï³Ý, ï³ñí³@
@annular@|@ûÕ³Ï³Ó»õ@
@anointed@|@ûÍ»É@
@anointment@|@ûÍáõÙ@
@anonymous@|@³Ý³ÝáõÝ@
@another's@|@áõñÇßÇ@
@answer@|@å³ï³ëË³Ý@
@ant@|@ÙñçÛáõÝ@
@anthem@|@ÑÇÙÝ@
@anthill@|@ÙñçÝ³Ýáó@
@anthology@|@ùñ»ëïáÙ³ïÇ³@
@antiaircraft@|@Ñ³Ï³û¹³ÛÇÝ@
@antidote@|@Ñ³Ï³ÃáõÛÝ@
@antique@|@³ÝïÇÏ@
@antiquity@|@ÑÝ³¹³ñ@
@antistatic@|@Ñ³Ï³å»ï³Ï³Ý@
@anti-war@|@Ñ³Ï³å³ï»ñ³½Ù³Ï³Ý@
@any@|@ÇÝã áñ, áã ÙÇ, áñáß ã³÷áí@
@anybody@|@áã Ù»ÏÁ@
@anyone@|@³Ù»Ý ÙÇ@
@anywhere@|@áã ÙÇ ï»Õ@
@apart@|@ÏáÕÙÁ, ÏáÕÙÇó@
@apartment@|@µÝ³Ï³ñ³Ý@
@ape@|@Ï³åÇÏ@
@aperture@|@³Ýóù, µ³óí³Íù@
@apparent@|@³ÏÝÑ³Ûï, µ³ó³Ñ³Ûï@
@apparently@|@»ñ»õÇ, Áëï »ñ»õáõÛÃÇÝ, Ñ³í³Ý³µ³ñ@
@appeal@|@³Õ³ã³Ýù, µáÕáù³ñÏ»É, µáÕáù³ñÏáõÙ, Ï³Ýã, Ïáã@
@appear@|@»ñ»õ³É, ÁÝÏÝ»É@
@appendix@|@Éñ³óáõÙ, ÏáõÛñ ³ÕÇù, Ñ³í»Éí³Í@
@appetite@|@³ËáñÅ³Ï@
@applaud@|@Í³÷³Ñ³ñ»É@
@applause@|@Í³÷³Ñ³ñáõÃÛáõÝ@
@apple@|@ËÝÓáñ@
@apple tree@|@ËÝÓáñ»ÝÇ@
@appliance@|@Ñ³ñÙ³ñ³Ýù@
@applicant@|@Ñ³í³ÏÝáñ¹@
@application@|@Ñ³Ûï@
@applied@|@ÏÇñ³é³Ï³Ý@
@apply@|@·áñÍ³¹ñ»É, ¹Ý»É, Ï³óÝ»É, í³ñí»É, í»ñ³µ»ñí»É@
@appointment@|@Å³Ù³¹ñáõÃÛáõÝ, ï»ë³ÏóáõÃÛáõÝ@
@appreciable@|@ÝÏ³ï»ÉÇ@
@appreciate@|@·Ý³Ñ³ï»É@
@approach@|@Ñ³ñÓ³ÏáõÙ, Ù³ïáõÛó, Ùáï ·³É, Ùáï»óáõÙ, Ùáï»Ý³É, íñ³ Ñ³ëÝ»É@
@approbation@|@÷áñÓ³ñÏáõÙ@
@appropriate@|@½³íÃ»É, ßÝáñÑ»É@
@approval@|@Ñ³í³ÝáõÃÛáõÝ@
@approve@|@Ëñ³Ëáõë»É@
@approximate@|@Ùáï³íáñ@
@approximately@|@Ùáï³íáñ³å»ë@
@apricot@|@ÍÇñ³Ý@
@April@|@³åñÇÉ@
@apron@|@·á·Ýáó@
@Arabian@|@³ñ³µ³Ï³Ý@
@arable@|@í³ñ³Í ³ñï, í³ñ»É³ÑáÕ@
@arbitrator@|@¹³ï³íáñ, Ë³Õ³í³ñ@
@arch@|@³Õ»Õ@
@archbishop@|@³ñù»åÇëÏáåáë@
@archipelago@|@ÏÕ½»ËáõÙµ@
@architect@|@×³ñï³ñ³å»ï@
@architecture@|@×³ñï³ñ³å»ïáõÃÛáõÝ@
@archive@|@³ñËÇí@
@area@|@Ññ³å³ñ³Ï, Ù³ñ½, ßñç³Ý, ï³ñ³ÍáõÃÛáõÝ@
@arena@|@³ëå³ñ»½, ÏñÏ»ëÇ Ññ³å³ñ³Ï, ÓÇ³Ù³ñ½³ñ³Ý, Ù³Ý»Å@
@argue@|@íÇ×»É@
@argument@|@å³ï×³é³µ³ÝáõÃÛáõÝ, ÷³ëï³ñÏ@
@arid@|@ó³Ù³ù@
@arise@|@Í³·»É@
@arithmetic@|@Ãí³µ³ÝáõÃÛáõÝ@
@arm@|@½»Ýù, Ó»éù@
@armband@|@Ã»õÏ³å, Ï³å, íÇñ³Ï³å@
@armchair@|@µ³ëÏ³Ãáé, ÃÇÏÝ³Ãáé@
@Armenian@|@Ñ³Û, Ñ³Û»ñ»Ý, Ñ³ÛáõÑÇ@
@armistice@|@½ÇÝ³¹³¹³ñ@
@armour@|@½ñ³Ñ@
@armpit@|@Ã»õ³ï³Ï@
@army@|@µ³Ý³Ï@
@aroma@|@µáõÛñ, µáõñÙáõÝù@
@around@|@ßñç³Ý ³Ý»Éáí, ßñç»Éáí, ßáõñç@
@arrange@|@Ï³½Ù³Ï»ñå»É, å³ÛÙ³Ý³íáñí»É, ï»Õ³¹ñ»É, ï»Õ³íáñ»É@
@arrangement@|@µ³ñ»Ñ³×áõÃÛáõÝ, Ñ³ÏáõÙ, Ñ³Ù³Ïñ³Ýù@
@arrest@|@Ï³É³Ýù, Ó»ñµ³Ï³ÉáõÃÛáõÝ@
@arrival@|@·³ÉÁ, ·³Éáõëï, Å³Ù³ÝáõÙ@
@arrive@|@·³É, Å³Ù³Ý»É, ëï³óí»É@
@arrow@|@Ý»ï, ëÉ³ù@
@arrows@|@Ññ³ÓÇ·, Ý»ï³ÓÇ·@
@arsonist@|@ÑñÓÇ·@
@art@|@³ñí»ëï, ·»Õ³ñí»ëï³Ï³Ý@
@artful@|@¹³í³¹Çñ, Ëáñ³Ù³ÝÏ, Ý»Ý·³íáñ, Ý»Ý·@
@artificial@|@³ñÑ»ëï³Ï³Ý, Ï»ÕÍ, ßÇÝÍáõ@
@artist@|@ÝÏ³ñÇã@
@artistic@|@¹»ñ³ë³Ý³Ï³Ý@
@as@|@ÇÝãå»ë, áñù³Ý@
@as far as@|@áñã³÷, áñù³Ý, áñù³Ýáí@
@as soon as@|@Ñ»Ýó áñ@
@ascend@|@µ³ñÓñ³Ý³É, »ÉÝ»É, Í³·»É@
@ascention@|@µ³ñÓñ³Ý³ÉÁ@
@ascertain@|@Ñ³Ùá½í»É, Ñ³ëï³ï»É, å³ñ½»É@
@ashes@|@ÙáËÇñ@
@ashtray@|@ÙáËñ³Ù³Ý@
@ashy@|@ÙáËñ³·áõÛÝ@
@ask@|@ËÝ¹ñ»É@
@aspect@|@Ó»õ»ñ, ï»ë³ù@
@aspen@|@¹áÕ¹áÕáõÝ Ï³Õ³Ù³ËÇ@
@asphalt@|@³ëý³Éï@
@aspiration@|@Ó·ïáõÙ@
@ass@|@³í³Ý³Ï, ¿ß@
@assault@|@Ñ³ñÓ³ÏáõÙ@
@assemblage@|@·³ÝÓáõÙ, ÅáÕáí³Íáõ, Ñ³í³ù³Íáõ, Ñ³í³ùáõÙ@
@assembly@|@ÅáÕáí, Ñ³í³ù@
@assert@|@í³í»ñ³óÝ»É@
@assiduous@|@ç³Ý³ë»ñ@
@assign@|@¹Ý»É@
@assignment@|@Ýß³Ý³ÏáõÃÛáõÝ, Ýß³Ý³ÏáõÙ@
@assistance@|@³ç³ÏóáõÃÛáõÝ@
@assistant@|@ï»Õ³Ï³É, û·Ý³Ï³Ý@
@assuage@|@Ù»ÕÙ³óÝ»É@
@assume@|@»ÝÃ³¹ñ»É@
@assumption@|@»ÝÃ³¹ñáõÃÛáõÝ@
@Assyrian@|@³ëáñÇ@
@aster@|@³ëïÕ³Í³ÕÇÏ@
@asthma@|@³ëÃÙ³@
@astronaut@|@³ëïÕ³Ý³íáñ¹@
@astronomer@|@³ëïÕ³·»ï@
@astronomy@|@ÇÝùÝ³í³ñáõÃÛáõÝ@
@asylum@|@Ã³ùëïáó@
@at@|@ÏáÕùÇÝ, Ùáï@
@at a walk@|@ù³ÛÉ»Éáí@
@at all@|@³Ù»Ý»õÇÝ, µáÉáñáíÇÝ, áã ÙÇ ã³÷áí@
@at first@|@³é³ç, Ý³Ë, ÝáñÇó, ëÏ½µÇó@
@at last@|@í»ñç³å»ë, í»ñçÇ@
@at liberty@|@³½³ïáõÃÛ³Ý Ù»ç@
@at once@|@³ÝÙÇç³å»ë@
@at random@|@³ÝÝå³ï³Ï, µ³ËïÁ µ»ñáíÇ, Ç½áõñ, ÇÝãå»ë ÏÁëï³óíÇ@
@at the left@|@Ó³ËáõÙ@
@at the night@|@·Çß»ñÁ, ·Çß»ñáí@
@athlete@|@Ù³ñ½ÇÏ, ýÇ½ÏáõÉïáõñÝÇÏ@
@atom@|@³ïáÙ@
@attach@|@ÏåóÝ»É@
@attachment@|@Ï³åí³ÍáõÃÛáõÝ@
@attack@|@·ñáÑ, ·ñáÑáõÙ, Ñ³ñÓ³ÏáõÙ@
@attacking@|@Ñ³ñÓ³ÏíáÕ@
@attempt@|@Ñ³Ýó³÷áñÓ, Ù³Ñ³÷áñÓ, ÷áñÓ@
@attention@|@áõß³¹ñáõÃÛáõÝ@
@attentive@|@áõß³¹Çñ@
@attic@|@Ó»ÕÝ³Ñ³ñÏ@
@attitude@|@¹Çñù, ¹ñáõÃÛáõÝ, Ñ³ñ³µ»ñáõÃÛáõÝ@
@attract@|@·ñ³í»É, Ý»ñ·ñ³í»É@
@attribute@|@Ñ³ïÏ³ÝÇß, í»ñ³·ñ»É@
@aubergine@|@µ³¹ñÇç³Ý@
@auction@|@³×áõñ¹@
@audible@|@ÉëíáõÙ@
@auditing@|@í»ñëïáõ·áõÙ@
@auditor@|@í»ñëïáõ·áÕ@
@august@|@û·áëïáë@
@aunt@|@Ñáñ³ùáõÛñ, Ùáñ³ùáõÛñ@
@Australia@|@³íëïñ³ÉÇ³@
@authentic@|@³ñÅ³Ý³Ñ³í³ï@
@author@|@Ñ»ÕÇÝ³Ï@
@authority@|@ÇßË³ÝáõÃÛáõÝ, Ñ»ÕÇÝ³ÏáõÃÛáõÝ@
@authorized@|@Ï³ÝáÝ³¹ñ³Ï³Ý@
@auto detail@|@Ù»ù»Ý³Ù³ë@
@autocratically@|@ÇÝùÝ³Ï³Ù@
@autumn@|@³ßáõÝ@
@auxiliary@|@û·Ý³Ï³Ý, ûÅ³Ý¹³Ï@
@auxiliary verb@|@ûÅ³Ý¹³Ï µ³Û@
@available@|@³éÏ³, Ï³ÝËÇÏ@
@avaricious@|@ÅÉ³ï@
@avenger@|@íñÇÅ³éáõ@
@avenue@|@Í³éáõÕÇ@
@avoid@|@Ëáõë³÷»É@
@awake@|@½³ñÃÝ»É@
@award@|@¹³ï³å³ñï»É, ßÝáñÑ»É, ßù³Ýß³Ý, å³ñ·»õ, í×é»É@
@away@|@Ñ»éáõ@
@awesome@|@³Ñ»Õ, ³ÝáÕáù, ëå³éÝ³Ï³Ý@
@awful@|@³Ñ³íáñ, ë³ñë³÷»ÉÇ, ëáëÏ³ÉÇ@
@awkward@|@³ÝÑ³ñÙ³ñ, ³Ý×³ñ³Ï, ³ÝßÝáñÑù, ³åÇÏ³ñ@
@awning@|@Í³ÍÏ@
@awry@|@ÏáÕùÇ íñ³@
@axe@|@Ï³óÇÝ@
@axis@|@³é³Ýóù, ÉÇë»é, ÓáÕ, ëéÝÇ@
@baby@|@µ³ÉÇÏ@
@bachelor@|@³ÙáõñÇ@
@back@|@»ï, »ï»õ, »ï»õÇ, ÃÇÏÝ³Ï, Ñ»ïÇÝ, Ù»çù@
@backbone@|@áÕÝ³ß³ñ@
@back-bone@|@áÕÝ³ß³ñ@
@backlog@|@»ï ÙÝ³ÉÁ@
@backstage@|@³Ý¹ñÏáõÉÇëÛ³Ý@
@backward@|@»ï ÁÝÏÝáÍ, Ñ»ï³ÙÝ³ó@
@backwardness@|@Ñ»ï³ÙÝ³óáõÃÛáõÝ@
@bacon@|@×³ñå, ×³ñå³ÛáõÕ, ë³É@
@bad@|@·»ß, í³ï@
@badge@|@ÏñÍù³Ýß³Ý@
@bag@|@å³Ûáõë³Ï, å³ñÏ, ïáåñ³Ï@
@bait@|@Ë³ÛÍ@
@bake@|@»÷»É@
@baked@|@ÃË³Í@
@baker@|@Ñ³ó³·áñÍ, Ñ³óÃáõË, ÷é³å³Ý@
@bakery@|@Ñ³óÇ ·áñÍ³ñ³Ý, ÷áõé@
@baking sheet@|@ï³å³Ï@
@balance@|@Ñ³ßí»ÏßÇé, Ñ³í³ë³ñ³ÏßéáõÃÛáõÝ@
@balcony@|@å³ïß·³Ùµ@
@bald@|@É»ñÏ, ×³Õ³ï@
@bald head@|@×³Õ³ïáõÃÛáõÝ@
@bale@|@Ñ³Ï@
@ball@|@·Ý¹³Ï@
@ballerina@|@å³ñáõÑÇ@
@ballet@|@µ³É»ï³ÛÇÝ@
@balloon@|@û¹³å³ñÇÏ@
@balm@|@µ³É³ë³Ý@
@banana@|@³¹³Ù³Ãáõ½, µ³Ý³Ý@
@band@|@÷áÏ@
@bandage@|@íÇñ³Ï³å@
@bandaging@|@íÇñ³Ï³åáõÙ@
@bang@|@Ë÷»É, ßñËÏ³óÝ»É@
@banish@|@¹áõñë ³Ý»É, ¹áõñë ùß»É, íéÝ¹»É, íï³ñ»É@
@banishment@|@³ñï³ùëáõÙ@
@banisters@|@µ³½ñÇù@
@bank@|@³÷-·»ïÇ, Í³ÝÍ³Õáõï@
@banker@|@µ³ÝÏ³ï»ñ@
@banner@|@¹ñáß³Ï@
@bar@|@¹³ñå³ë³ÓáÕ, Í³Ýñ³ÓáÕ, ÓáÕ³÷³Ûï, ëáÕÝ³Ï@
@barbarian@|@µ³ñµ³ñáë@
@barbeque@|@Ëáñáí³Í@
@barbequed@|@Ëáñáí³Í (ÉÇÝ»É)@
@barber@|@ë³÷ñÇã, í³ñë³íÇñ@
@barber shop@|@í³ñë³íÇñ³Ýáó@
@bare@|@Ù»ñÏ@
@barefoot@|@µáµÇÏ@
@bargain@|@·áñÍ³ñù@
@barge@|@µ»éÝ³Ý³í, É³ëï³Ý³í@
@bark@|@Ñ³ãáó@
@barley@|@·³ñÇ@
@barn@|@ßï»Ù³ñ³Ý@
@barometer@|@Í³Ýñ³ã³÷@
@barracks@|@½áñ³Ýáó@
@barrel@|@ï³Ï³é@
@barricade@|@µ³ñÇÏ³¹, å³ïÝ»ß@
@barrier@|@³ñ·»É³÷³Ïáó, ³ñ·»Éù, ËáãÁÝ¹áï, å³ïÝ»ß, ÷³Ïáó@
@bars@|@½áõ·³÷³Ûï»ñ@
@base@|@ÑÇÙù@
@bashful@|@³Ù³ãÏáï, ³ÙáÃË³Í@
@basic@|@ÑÇÙÝ³Ï³Ý, ÑÇÙÝ³Ï³ÝÁ@
@basil@|@é»Ñ³Ý@
@basin@|@ÏáÝù, ï³ßï@
@basis@|@ÑÇÙù, ÑÇÙÝ³¹ñáõÙ@
@basket@|@½³ÙµÛáõÕ, ÏáÕáí, ùÃáó@
@bastmat@|@ËëÇñ@
@bat@|@Ù³Ñ³Ï@
@bath@|@µ³ÕÝÇÏ, ÉáÕ³ñ³Ý@
@bathhouse@|@ÉáÕ³ñ³Ý@
@battalion@|@·áõÙ³ñï³Ï@
@battery@|@Ù³ñïÏáó@
@battle@|@×³Ï³ï³Ù³ñï, Ù³ñï, Ù³ñï³Ï³Ý, Ù³ñïÝã»É@
@battleship@|@·Í³Ý³í@
